id,package,n_games,sum_reward,sum_discount_reward,avg_steps_per_game,runtime
1,QMDP,1000,-24155,-3,13.326,0.0157101
2,QMDP,1000,-25010,-15,13.894,0.0096449
3,QMDP,1000,-24685,-16,13.599,0.0178969
4,QMDP,1000,-22605,-3,12.997,0.0139756
5,QMDP,1000,-25785,-32,14.025,0.0147909
6,QMDP,1000,-24045,-21,13.205,0.0136762
7,QMDP,1000,-24185,-17,13.442,0.0124689
8,QMDP,1000,-23685,-6,13.014,0.0185807
9,QMDP,1000,-24390,-9,13.453,0.0124738
10,QMDP,1000,-22615,-7,12.838,0.0180638
1,POMCP,1000,-9155,-17,3.224,2.2041216
2,POMCP,1000,-8665,-20,3.127,2.1606421
3,POMCP,1000,-8975,-21,3.2,2.1389106
4,POMCP,1000,-8575,-6,3.157,6.4772266
5,POMCP,1000,-8745,-25,3.088,5.0373864
6,POMCP,1000,-8825,-7,3.213,4.6896499
7,POMCP,1000,-9165,-28,3.144,3.2851292
8,POMCP,1000,-9110,-34,3.19,5.6749916
9,POMCP,1000,-8970,-20,3.261,6.3654216
10,POMCP,1000,-9210,-25,3.247,3.4848376
1,SARSOP,1000,-25870,-20,13.844,0.0632065
2,SARSOP,1000,-24895,-18,13.476,0.0450475
3,SARSOP,1000,-24745,-12,13.516,0.04044
4,SARSOP,1000,-26540,-3,14.372,0.0137157
5,SARSOP,1000,-25170,-14,13.65,0.0272585
6,SARSOP,1000,-24455,-21,13.388,0.0227236
7,SARSOP,1000,-25200,-13,13.513,0.0188486
8,SARSOP,1000,-25695,-21,13.854,0.0192937
9,SARSOP,1000,-24515,-8,13.414,0.0121784
10,SARSOP,1000,-24950,-4,13.45,0.0088001
1,FIB,1000,-24850,-29,13.819,0.0082515
2,FIB,1000,-23890,-8,13.32,0.0146021
3,FIB,1000,-22705,-32,12.523,0.0063597
4,FIB,1000,-23360,-23,12.945,0.0149401
5,FIB,1000,-25300,-16,14.025,0.0142836
6,FIB,1000,-24790,-11,13.837,0.0135629
7,FIB,1000,-22985,-21,13.111,0.0175788
8,FIB,1000,-24705,-11,13.609,0.0125901
9,FIB,1000,-23230,-23,12.789,0.0193515
10,FIB,1000,-24555,-21,14.056,0.0163884
1,PBVI,1000,-24795,-14,13.921,0.0567354
2,PBVI,1000,-24535,-3,13.613,0.086046
3,PBVI,1000,-25445,-6,14.133,0.0975291
4,PBVI,1000,-24960,-15,13.97,0.0847302
5,PBVI,1000,-24880,-18,13.645,0.0972608
6,PBVI,1000,-23410,-10,13.301,0.0965965
7,PBVI,1000,-24770,-23,13.451,0.0675155
8,PBVI,1000,-24750,-17,13.729,0.0857755
9,PBVI,1000,-24320,-20,13.441,0.1031108
10,PBVI,1000,-24295,-17,13.253,0.072747
1,POMCPOW,1000,-14990,-25,6.194,3.2182497
2,POMCPOW,1000,-14450,-16,6.108,8.0140193
3,POMCPOW,1000,-16075,-21,6.269,4.8522835
4,POMCPOW,1000,-14060,-5,5.884,3.3693588
5,POMCPOW,1000,-14985,-15,6.194,3.2430788
6,POMCPOW,1000,-14670,-28,6.306,3.3980562
7,POMCPOW,1000,-13670,-22,5.984,6.9013946
8,POMCPOW,1000,-15365,-15,6.196,6.86297
9,POMCPOW,1000,-14835,-27,6.21,6.1177899
10,POMCPOW,1000,-14185,-12,6.102,8.1705309
