id,package,n_games,sum_reward,sum_discount_reward,avg_steps_per_game,runtime
1,POMCP,1000,2540,0,12.05,7.7054713
2,POMCP,1000,2540,0,11.12,23.5030185
3,POMCP,1000,2620,-3,10.917,27.3423585
4,POMCP,1000,1940,-2,12.209,19.8256442
5,POMCP,1000,2600,3,10.981,23.4669615
6,POMCP,1000,1870,9,11.463,20.0714751
7,POMCP,1000,1930,-12,10.804,14.2054107
8,POMCP,1000,1960,9,12.226,19.1585489
9,POMCP,1000,2130,10,11.685,14.9731573
10,POMCP,1000,1480,0,11.031,7.6365548
1,POMCPOW,1000,2220,-12,11.242,7.1309387
2,POMCPOW,1000,2850,-1,11.556,2.7876943
3,POMCPOW,1000,2580,0,11.251,6.818488
4,POMCPOW,1000,1940,-17,11.472,2.7207307
5,POMCPOW,1000,1840,12,10.794,1.9766053
6,POMCPOW,1000,2250,3,10.807,4.660554
7,POMCPOW,1000,2060,2,12.484,4.4523247
8,POMCPOW,1000,2560,7,12.363,6.0636322
9,POMCPOW,1000,2040,7,11.281,4.6003503
10,POMCPOW,1000,1850,3,10.124,4.5571064
