id,package,n_games,sum_reward,sum_discount_reward,avg_steps_per_game,runtime
1,QMDP,1000,337,0,68.645,0.5052834
2,QMDP,1000,336,0,68.74,0.4815292
3,QMDP,1000,349,1,67.557,0.5276349
4,QMDP,1000,343,0,68.104,0.6216078
5,QMDP,1000,337,0,68.633,0.4603188
6,QMDP,1000,346,0,67.851,0.470696
7,QMDP,1000,328,0,69.52,0.5250459
8,QMDP,1000,329,0,69.393,0.4873169
9,QMDP,1000,331,0,69.222,0.5016022
10,QMDP,1000,367,0,65.869,0.5354223
1,POMCP,1000,1000,2,7.691,28.0708525
2,POMCP,1000,1000,2,7.644,14.964329
3,POMCP,1000,1000,2,7.718,12.9462742
4,POMCP,1000,1000,1,7.724,27.1739287
5,POMCP,1000,1000,2,7.79,15.0219873
6,POMCP,1000,1000,1,7.564,18.7784448
7,POMCP,1000,1000,2,7.759,21.7059233
8,POMCP,1000,1000,2,7.556,14.1601478
9,POMCP,1000,1000,2,7.865,30.4288525
10,POMCP,1000,1000,1,7.619,16.8466002
1,SARSOP,1000,1000,1,6.702,0.1978989
2,SARSOP,1000,1000,2,6.535,0.1494957
3,SARSOP,1000,1000,2,6.563,0.1232535
4,SARSOP,1000,1000,3,6.551,0.1120322
5,SARSOP,1000,1000,2,6.605,0.0932507
6,SARSOP,1000,1000,3,6.606,0.1541514
7,SARSOP,1000,1000,2,6.498,0.1113761
8,SARSOP,1000,1000,2,6.769,0.0685916
9,SARSOP,1000,1000,2,6.668,0.0969639
10,SARSOP,1000,1000,2,6.503,0.103991
1,FIB,1000,321,0,70.132,0.6114512
2,FIB,1000,308,0,71.341,0.5568961
3,FIB,1000,341,0,68.28,0.5994268
4,FIB,1000,349,1,67.525,0.5238347
5,FIB,1000,343,0,68.1,1.5417345
6,FIB,1000,304,0,71.733,1.428177
7,FIB,1000,336,0,68.737,1.4133163
8,FIB,1000,331,0,69.213,1.1447908
9,FIB,1000,316,0,70.599,0.9001618
10,FIB,1000,320,0,70.241,0.7619098
1,PBVI,1000,1000,2,6.646,0.084758
2,PBVI,1000,1000,2,6.575,0.1023144
3,PBVI,1000,1000,2,6.693,0.081287
4,PBVI,1000,1000,3,6.459,0.0593752
5,PBVI,1000,1000,2,6.572,0.0538502
6,PBVI,1000,1000,1,6.607,0.0630446
7,PBVI,1000,1000,2,6.51,0.0783906
8,PBVI,1000,1000,2,6.558,0.0807301
9,PBVI,1000,1000,3,6.614,0.0644351
10,PBVI,1000,1000,2,6.587,0.0585164
1,POMCPOW,1000,1000,1,8.227,42.5042236
2,POMCPOW,1000,1000,1,8.304,40.2058562
3,POMCPOW,1000,1000,1,8.449,40.4317761
4,POMCPOW,1000,1000,2,8.534,59.0816059
5,POMCPOW,1000,1000,1,8.302,46.1775035
6,POMCPOW,1000,1000,1,8.25,45.4684019
7,POMCPOW,1000,1000,1,8.346,43.4127531
8,POMCPOW,1000,1000,1,8.636,41.5851401
9,POMCPOW,1000,1000,1,8.364,44.4299527
10,POMCPOW,1000,1000,1,8.141,44.4584262
