id,package,n_games,sum_reward,sum_discount_reward,avg_steps_per_game,runtime
1,QMDP,1000,3,-1,1.997,0.0156662
2,QMDP,1000,-69,-1,2.069,0.0130269
3,QMDP,1000,-86,-2,2.086,0.018669
4,QMDP,1000,-93,0,2.093,0.0174266
5,QMDP,1000,72,-1,1.928,0.0159486
6,QMDP,1000,26,0,1.974,0.0114266
7,QMDP,1000,-57,2,2.057,0.0091771
8,QMDP,1000,-2,0,2.002,0.0137653
9,QMDP,1000,18,2,1.982,0.0169818
10,QMDP,1000,18,0,1.982,0.0153127
1,POMCP,1000,-933,-11,2.933,17.2422671
2,POMCP,1000,-931,-10,2.931,11.9781621
3,POMCP,1000,-768,-9,2.768,14.0053351
4,POMCP,1000,-899,-10,2.899,8.677672
5,POMCP,1000,-824,-5,2.824,8.7003094
6,POMCP,1000,-819,-6,2.819,28.2480925
7,POMCP,1000,-862,-5,2.862,22.2161138
8,POMCP,1000,-820,-4,2.82,16.5886951
9,POMCP,1000,-930,-7,2.93,10.6780744
10,POMCP,1000,-984,-4,2.984,25.3936121
1,SARSOP,1000,-14,5,2.014,0.128216
2,SARSOP,1000,-17,0,2.017,0.1267866
3,SARSOP,1000,-18,0,2.018,0.7384167
4,SARSOP,1000,27,-1,1.973,0.0459281
5,SARSOP,1000,-10,-3,2.01,0.0669935
6,SARSOP,1000,19,0,1.981,0.092302
7,SARSOP,1000,-75,-4,2.075,0.0425591
8,SARSOP,1000,-67,-1,2.067,0.0337742
9,SARSOP,1000,-60,1,2.06,0.0436945
10,SARSOP,1000,31,4,1.969,0.0420593
1,FIB,1000,49,1,1.951,0.0493731
2,FIB,1000,-43,-3,2.043,0.0587303
3,FIB,1000,10,-2,1.99,0.0764844
4,FIB,1000,-68,-1,2.068,0.0874364
5,FIB,1000,-96,-1,2.096,0.0608154
6,FIB,1000,28,2,1.972,0.0715164
7,FIB,1000,14,2,1.986,0.1285162
8,FIB,1000,-62,-5,2.062,0.038175
9,FIB,1000,39,3,1.961,0.0405159
10,FIB,1000,67,-1,1.933,0.0592303
1,PBVI,1000,20,0,1.98,0.0766902
2,PBVI,1000,109,0,1.891,0.1340613
3,PBVI,1000,-28,0,2.028,0.2642048
4,PBVI,1000,15,0,1.985,0.0562864
5,PBVI,1000,-28,1,2.028,0.0985686
6,PBVI,1000,-31,0,2.031,0.0357251
7,PBVI,1000,0,0,2.0,0.0344084
8,PBVI,1000,-48,4,2.048,0.0833721
9,PBVI,1000,66,2,1.934,0.0297423
10,PBVI,1000,8,-1,1.992,0.2125747
1,POMCPOW,1000,-1153,-11,3.153,83.4225851
2,POMCPOW,1000,-1064,-8,3.064,105.1751102
3,POMCPOW,1000,-1005,-5,3.005,65.2771433
4,POMCPOW,1000,-1136,-4,3.136,93.3748799
5,POMCPOW,1000,-1183,-10,3.183,74.7315741
6,POMCPOW,1000,-1180,-7,3.18,74.1929665
7,POMCPOW,1000,-1069,-8,3.069,73.2643999
8,POMCPOW,1000,-1223,-12,3.223,97.5406495
9,POMCPOW,1000,-1152,-7,3.152,121.7539577
10,POMCPOW,1000,-1014,-6,3.014,65.6071519
