id,package,n_games,sum_reward,sum_discount_reward,avg_steps_per_game,runtime
1,QMDP,1000,22870,75,4.589,0.0898876
2,QMDP,1000,24165,56,4.827,0.1263764
3,QMDP,1000,25737,116,5.113,0.0847806
4,QMDP,1000,25887,98,5.128,0.0618692
5,QMDP,1000,25781,84,5.004,0.1043672
6,QMDP,1000,24333,94,4.862,0.1046837
7,QMDP,1000,24947,87,4.852,0.1446704
8,QMDP,1000,24216,101,4.802,0.0943808
9,QMDP,1000,26122,93,5.176,0.1048566
10,QMDP,1000,25454,95,5.028,0.1014546
1,POMCP,1000,18491,69,4.107,18.6041884
2,POMCP,1000,18470,80,4.065,24.2291914
3,POMCP,1000,16976,95,3.84,21.1683908
4,POMCP,1000,17284,111,3.889,20.4167544
5,POMCP,1000,18165,76,4.052,20.0597679
6,POMCP,1000,16586,90,3.857,20.3707509
7,POMCP,1000,17478,81,3.949,21.3038591
8,POMCP,1000,18391,78,4.048,9.9682344
9,POMCP,1000,17096,71,3.957,20.0112347
10,POMCP,1000,18053,76,3.961,19.3918098
1,SARSOP,1000,25119,104,4.956,0.1705909
2,SARSOP,1000,26166,100,5.025,0.2480225
3,SARSOP,1000,26961,112,5.276,0.1983134
4,SARSOP,1000,25246,112,4.919,0.3495582
5,SARSOP,1000,24477,83,4.889,0.6565356
6,SARSOP,1000,24472,101,4.829,0.4191463
7,SARSOP,1000,24309,92,4.875,0.4705593
8,SARSOP,1000,24588,86,4.912,0.100119
9,SARSOP,1000,25581,71,5.012,0.1334462
10,SARSOP,1000,23933,91,4.843,0.479198
1,FIB,1000,23858,87,4.832,0.2637119
2,FIB,1000,25425,99,5.009,0.3094397
3,FIB,1000,25458,92,5.013,0.2318657
4,FIB,1000,24886,88,4.827,0.4736399
5,FIB,1000,25944,87,5.154,0.4850234
6,FIB,1000,24163,77,4.873,0.3532769
7,FIB,1000,23943,92,4.725,0.2127398
8,FIB,1000,24894,93,4.979,0.2379288
9,FIB,1000,24698,79,4.965,0.3244763
10,FIB,1000,24981,88,4.889,0.2791148
1,PBVI,1000,24223,97,4.893,0.4349425
2,PBVI,1000,24251,142,4.746,0.4409394
3,PBVI,1000,24811,119,4.942,0.4131946
4,PBVI,1000,24716,91,4.95,0.3919894
5,PBVI,1000,25933,87,5.106,0.4438551
6,PBVI,1000,23173,102,4.704,0.4292545
7,PBVI,1000,27099,138,5.28,0.48865
8,PBVI,1000,25637,100,5.026,0.4019502
9,PBVI,1000,25500,126,4.957,0.6579414
10,PBVI,1000,24837,79,4.855,0.4490366
1,POMCPOW,1000,21084,61,4.598,60.3487765
2,POMCPOW,1000,20305,85,4.483,88.4365678
3,POMCPOW,1000,20409,118,4.436,90.2160046
4,POMCPOW,1000,21037,68,4.51,83.3385417
5,POMCPOW,1000,19752,98,4.294,116.6254949
6,POMCPOW,1000,19816,55,4.404,71.2997972
7,POMCPOW,1000,20468,64,4.325,101.7773129
8,POMCPOW,1000,18846,67,4.069,90.6664218
9,POMCPOW,1000,21085,76,4.47,79.4690666
10,POMCPOW,1000,20979,73,4.577,87.5667266
