id,package,n_games,sum_reward,sum_discount_reward,avg_steps_per_game,runtime
1,QMDP,1000,0,0,999.001,0.918125269
2,QMDP,1000,0,0,999.001,0.922028907
3,QMDP,1000,0,0,999.001,0.941299169
4,QMDP,1000,0,0,999.001,0.93487241
5,QMDP,1000,0,0,999.001,0.923773864
6,QMDP,1000,0,0,999.001,0.918104082
7,QMDP,1000,0,0,999.001,0.913129549
8,QMDP,1000,0,0,999.001,0.915895826
9,QMDP,1000,0,0,999.001,0.913933128
10,QMDP,1000,0,0,999.001,0.914811675
1,SARSOP,1000,27757,26437,6.964,0.01224824
2,SARSOP,1000,28092,26753,7.008,0.011857113
3,SARSOP,1000,28016,26684,6.992,0.012121864
4,SARSOP,1000,28067,26727,6.996,0.013464209
5,SARSOP,1000,27277,25976,6.916,0.013422495
6,SARSOP,1000,27847,26528,6.974,0.013533317
7,SARSOP,1000,27856,26536,6.977,0.013115687
8,SARSOP,1000,28418,27061,7.03,0.013595796
9,SARSOP,1000,27376,26082,6.928,0.015795111
10,SARSOP,1000,27735,26416,6.967,0.011661865
1,FIB,1000,0,0,999.001,0.926378643
2,FIB,1000,0,0,999.001,0.9196096
3,FIB,1000,0,0,999.001,0.917977719
4,FIB,1000,0,0,999.001,0.955931479
5,FIB,1000,0,0,999.001,0.912274833
6,FIB,1000,0,0,999.001,0.945896294
7,FIB,1000,0,0,999.001,0.920222253
8,FIB,1000,0,0,999.001,0.924341372
9,FIB,1000,0,0,999.001,0.919164319
10,FIB,1000,0,0,999.001,0.923038295
1,PBVI,1000,27518,26204,6.939,0.088460455
2,PBVI,1000,27927,26602,6.981,0.08800312
3,PBVI,1000,28064,26731,7.001,0.08684175
4,PBVI,1000,27444,26133,6.939,0.089082634
5,PBVI,1000,27537,26224,6.944,0.090041766
6,PBVI,1000,27923,26591,6.991,0.108252488
7,PBVI,1000,27713,26388,6.969,0.088792588
8,PBVI,1000,27917,26596,6.98,0.089490852
9,PBVI,1000,28005,26671,6.992,0.107158952
10,PBVI,1000,27785,26462,6.972,0.087988823
