,,QMDP,FIB,PBVI,SARSOP,POMCP,POMCPOW
Runtime,Crying Baby,0.1473,0.1379,0.848,0.2715,41.5183,54.1477
Runtime,Tiger,0.1462,0.1696,0.2243,0.0945,2.4639,4.6273
Runtime,Paint,0.1474,0.6708,1.0256,1.3607,163.7283,854.3404
Runtime,Rock Sample,8.173,10.5323,9.0112,1.4186,39.9139,51.4488
Runtime,Query,2.3331,3.2687,4.1462,2.4465,21.2684,69.6085
Runtime,Mini Hallway,8.5316,15.4307,1.8702,1.3364,116.7012,132.491
Runtime,T-Maze,5.8714,7.1363,1.0194,2.7433,3648.0549,6251.3235
Reward,Crying Baby,-129.0,-195.0,-143.0,-134.0,-203.0,-186.0
Reward,Tiger,259.0,246.0,319.0,343.0,-3728.0,-3287.0
Reward,Paint,-1.0,-5.0,6.0,1.0,-71.0,-78.0
Reward,Rock Sample,0.0,0.0,673.0,666.0,686.0,689.0
Reward,Query,958.0,1006.0,968.0,982.0,823.0,786.0
Reward,Mini Hallway,0.0,1.0,22.0,20.0,4.0,4.0
Reward,T-Maze,-86.0,0.0,299.0,247.0,162.0,99.0
