id,package,n_games,sum_reward,sum_discount_reward,avg_steps_per_game,runtime
1,QMDP,1000,-8436,-8,92.401,0.6655325
2,QMDP,1000,-8525,-9,93.001,0.6441972
3,QMDP,1000,-8170,-8,90.601,0.4415406
4,QMDP,1000,-8261,-9,91.101,0.46978
5,QMDP,1000,-8178,-8,90.701,0.4926797
6,QMDP,1000,-8336,-9,91.701,0.595466
7,QMDP,1000,-8131,-9,90.301,0.6394219
8,QMDP,1000,-8298,-8,91.601,0.6698462
9,QMDP,1000,-8028,-9,89.601,0.7950962
10,QMDP,1000,-8207,-9,90.901,0.4578804
1,POMCP,1000,1801,12,9.301,365.5131993
2,POMCP,1000,1805,17,9.55,365.9289051
3,POMCP,1000,1828,11,9.484,366.1330104
4,POMCP,1000,1905,19,9.553,361.5633129
5,POMCP,1000,1799,15,9.536,365.6107785
6,POMCP,1000,1883,20,8.935,363.9390578
7,POMCP,1000,1690,17,9.449,364.709145
8,POMCP,1000,1848,18,9.585,365.554475
9,POMCP,1000,1902,16,9.334,364.3583223
10,POMCP,1000,1835,17,9.524,364.7447082
1,SARSOP,1000,3491,25,13.613,0.1765466
2,SARSOP,1000,3481,25,13.501,0.3705941
3,SARSOP,1000,3487,22,13.512,0.369013
4,SARSOP,1000,3495,26,13.425,0.1605243
5,SARSOP,1000,3490,26,13.541,0.3357955
6,SARSOP,1000,3491,23,13.489,0.265498
7,SARSOP,1000,3469,25,13.54,0.3911366
8,SARSOP,1000,3473,26,13.627,0.1712707
9,SARSOP,1000,3490,25,13.485,0.2808344
10,SARSOP,1000,3487,24,13.569,0.2221134
1,FIB,1000,-9,0,100.001,0.5739096
2,FIB,1000,-9,0,100.001,0.6507748
3,FIB,1000,-9,0,100.001,1.2680046
4,FIB,1000,-9,0,100.001,0.6868056
5,FIB,1000,-6,0,100.001,0.6684625
6,FIB,1000,-9,0,100.001,0.6581041
7,FIB,1000,-9,0,100.001,0.6982187
8,FIB,1000,-9,0,100.001,0.6060375
9,FIB,1000,-9,0,100.001,0.6515857
10,FIB,1000,-9,0,100.001,0.6744145
1,PBVI,1000,1843,17,7.855,0.097844
2,PBVI,1000,1835,36,8.154,0.099069
3,PBVI,1000,1928,20,7.854,0.1052283
4,PBVI,1000,1777,24,8.442,0.1020525
5,PBVI,1000,1993,33,7.828,0.1087159
6,PBVI,1000,1956,43,7.795,0.0913309
7,PBVI,1000,1810,32,8.425,0.0940205
8,PBVI,1000,1984,36,7.949,0.1065969
9,PBVI,1000,1861,28,8.463,0.1141595
10,PBVI,1000,2051,30,7.758,0.1003949
1,POMCPOW,1000,1623,20,12.347,632.0325293
2,POMCPOW,1000,1516,7,12.189,620.4239895
3,POMCPOW,1000,1548,7,11.797,609.2379558
4,POMCPOW,1000,1422,16,12.16,630.4471729
5,POMCPOW,1000,1573,17,11.601,626.5786463
6,POMCPOW,1000,1523,11,12.067,624.8518707
7,POMCPOW,1000,1588,9,12.14,635.4918962
8,POMCPOW,1000,1579,3,11.752,626.3429811
9,POMCPOW,1000,1541,6,11.722,623.4897833
10,POMCPOW,1000,1497,3,12.311,622.4267013
