id,package,n_games,sum_reward,sum_discount_reward,avg_steps_per_game,runtime
1,QMDP,1000,4930,4615,3.76,0.0158094
2,QMDP,1000,3440,3286,3.71,0.0242101
3,QMDP,1000,4324,4140,3.706,0.0745225
4,QMDP,1000,4092,3906,3.608,0.0468627
5,QMDP,1000,3782,3563,3.698,0.0564537
6,QMDP,1000,4156,3962,3.654,0.0446436
7,QMDP,1000,3336,3205,3.704,0.070786
8,QMDP,1000,3938,3769,3.762,0.0396485
9,QMDP,1000,2430,2334,3.73,0.046529
10,QMDP,1000,5086,4874,3.604,0.0329606
1,POMCP,1000,-25130,-24113,2.14,16.5885694
2,POMCP,1000,-25859,-24787,2.209,16.8075165
3,POMCP,1000,-25051,-24166,2.171,15.4658361
4,POMCP,1000,-27776,-26777,2.146,15.7815599
5,POMCP,1000,-26646,-25447,2.226,17.3807132
6,POMCP,1000,-28953,-27845,2.113,15.4285856
7,POMCP,1000,-24543,-23643,2.213,16.0035843
8,POMCP,1000,-27809,-26676,2.179,16.2390657
9,POMCP,1000,-24279,-23497,2.169,14.733993
10,POMCP,1000,-28378,-27097,2.198,18.5843802
1,SARSOP,1000,3812,3618,3.668,0.0532679
2,SARSOP,1000,3790,3586,3.69,0.0861283
3,SARSOP,1000,4572,4387,3.678,0.0768344
4,SARSOP,1000,4490,4299,3.65,0.0581882
5,SARSOP,1000,4326,4066,3.704,0.0780251
6,SARSOP,1000,3846,3682,3.744,0.0362898
7,SARSOP,1000,4428,4237,3.712,0.0186655
8,SARSOP,1000,3322,3190,3.718,0.0405172
9,SARSOP,1000,3652,3428,3.718,0.0190152
10,SARSOP,1000,3612,3471,3.648,0.0204281
1,FIB,1000,3658,3505,3.712,0.0183744
2,FIB,1000,3476,3289,3.674,0.0140939
3,FIB,1000,5022,4813,3.668,0.0244162
4,FIB,1000,4298,4121,3.622,0.0108068
5,FIB,1000,3668,3426,3.702,0.0232043
6,FIB,1000,5112,4895,3.688,0.0091335
7,FIB,1000,3786,3631,3.584,0.0189258
8,FIB,1000,5400,5138,3.73,0.0139691
9,FIB,1000,4520,4276,3.73,0.0243376
10,FIB,1000,4500,4314,3.64,0.0205925
1,PBVI,1000,3668,3510,3.702,0.023135
2,PBVI,1000,3532,3382,3.728,0.0277698
3,PBVI,1000,4058,3880,3.642,0.049408
4,PBVI,1000,4444,4209,3.696,0.0346436
5,PBVI,1000,2966,2848,3.744,0.1138056
6,PBVI,1000,4286,4090,3.634,0.0307032
7,PBVI,1000,4408,4218,3.732,0.0361258
8,PBVI,1000,4600,4387,3.65,0.0375658
9,PBVI,1000,4160,4000,3.65,0.0413524
10,PBVI,1000,3734,3591,3.636,0.0377414
1,POMCPOW,1000,-30042,-28911,2.212,67.0787659
2,POMCPOW,1000,-27365,-26196,2.065,65.9445424
3,POMCPOW,1000,-28471,-27422,2.071,63.4737188
4,POMCPOW,1000,-31182,-29977,2.142,73.1478694
5,POMCPOW,1000,-26773,-25629,2.133,93.2707085
6,POMCPOW,1000,-28704,-27657,1.974,61.5827354
7,POMCPOW,1000,-26168,-25153,2.078,66.0595359
8,POMCPOW,1000,-27651,-26961,2.131,73.2736329
9,POMCPOW,1000,-30189,-29100,2.029,71.668669
10,POMCPOW,1000,-27966,-26941,2.116,68.9065918
